Age_range,Gender,Languages,Country,Nationality,Education,Major,Occupation,Devices,Internet_familiarity,Internet_quality,Desktop_familiarity,Laptop_familiarity,Phone_familiarity,Feature_phone_familiarity,Tablet_familiarity,Smartwatch_familiarity
Millennials: Born 1981-1996,Male,Bengali;English;Hindi,United States,Bangladeshi,University/Higher Degree,Electrical Engineering,Student,Desktop Computer / iMac / Mac mini;Laptop / Macbook;Android / iPhone / Touchscreen phone;Tablet / iPad;Smartwatch,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science & Engineering,Government officer,Laptop / Macbook;Android / iPhone / Touchscreen phone;Tablet / iPad,5.0,4.0,,5.0,5.0,,5.0,
Generation Z: Born 1997-2012,Female,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science,Student,Laptop / Macbook;Android / iPhone / Touchscreen phone;Feature phone (with physical keyboard having no touchscreen);Smartwatch,5.0,2.0,5.0,5.0,5.0,5.0,,5.0
Millennials: Born 1981-1996,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science ,Student;Teacher,Desktop Computer / iMac / Mac mini;Laptop / Macbook;Android / iPhone / Touchscreen phone;Smartwatch,5.0,3.0,5.0,5.0,5.0,5.0,,
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science,IT Professional,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science,IT Professional,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,3.0,5.0,,1.0,,3.0
Generation Z: Born 1997-2012,Female,Bengali;English,United Kingdom,Bangladeshi,University/Higher Degree,Computer Science ,Government employee (not officer),Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,,5.0,5.0
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science & Engineering,IT Professional;Private employee (not officer),Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,5.0,5.0,,5.0,,,3.0
Generation Z: Born 1997-2012,Male,Bengali;English;Spanish,United States,Bangladeshi,University/Higher Degree,Industrial Engineering ,Graduate Research Assistant ,Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0
Generation Z: Born 1997-2012,Female,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science and Engineering,Private employee (not officer),Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
